name,phone,email,remark,address,Product Name,Lead Interest,Lead Status,Lead Reference,State,Created By,Assigned To,usercode,createdon,isdeleted
Mr. Krishnan,+910878891,bachittar.krishnan669@example.com,Information given price pitched 18k. Client said he will call on next week.,,"CDR Analysis Software,SDR",High,Open,Referral,Punjab,Pravin Vhatkar,Suraj Darade,,9/19/2025,0
Ms. Vora,0287901210,chameli.vora554@example.com,Information given. Price told Rs.28k. Client said that i will call you back after some time.,,SDR,Medium,Open,Website,Punjab,Sonal Athawale,Suraj Darade,,9/15/2025,0
Mrs. Advik Dugal,4039031306,advik.dugal883@mailserver.org,Information given. Price pitched 33 000. The client said he will let us know.,,"CDR Analysis Software,SDR",High,Open,Marketing,Bihar & Jharkhand,Suraj Darade,Sonal Athawale,,10/8/2025,0
Mrs. Balendra Sampath,0383555733,balendra.sampath485@example.com,Information given. Price told Rs. 33k. Client said that he will callback for the same.,,"CDR Analysis Software,SDR",Medium,Open,Webinar,Goa,Pravin Vhatkar,Pravin Vhatkar,,9/25/2025,0
Mr. Nirja Chaudhary,+916932833,nirja.chaudhary900@mailserver.org,Information given price pitched 28 000. Client said he will call on next week.,,"CDR Analysis Software,SDR",Medium,Open,Webinar,Punjab,Sonal Athawale,Pravin Vhatkar,,9/12/2025,0
Ms. Rajeshri Barad,+915515256,rajeshri.barad311@mailserver.org,Information given price pitched 28k. Client said he will call on next week.,,Cell Track,Medium,Open,Referral,Gujarat,Pravin Vhatkar,Pravin Vhatkar,,9/29/2025,0
Ms. Naveen Oak,1595299392,naveen.oak788@example.com,Information given. Price told Rs. 33 000. Client said that he will callback for the same.,,"CDR Analysis Software,SDR",Medium,Open,Webinar,Maharashtra ,Suraj Darade,Suraj Darade,,9/14/2025,0
Mr. Wriddhish Ghose,+914596850,wriddhish.ghose979@mailserver.org,Information given. Price told Rs.18 000. Client said that i will call you back after some time.,,CDR Analysis Software,Medium,Open,Marketing,Gujarat,Pravin Vhatkar,Suraj Darade,,9/9/2025,0
Ms. Ravi,+913982533,zashil.ravi677@mailserver.org,Information given price pitched 28k. Client said he will call back.,,Cell Track,High,Open,Website,Karnataka ,Sonal Athawale,Suraj Darade,,9/20/2025,0
Ms. Chand,2350710956,aishani.chand247@mailserver.org,Information given. Price told Rs.33 000. Client said that send me quotation for the same.,,"CDR Analysis Software,Cell Track",Medium,Open,Marketing,Gujarat,Sonal Athawale,Pravin Vhatkar,,9/23/2025,0
Mr. Maharaj,0680327827,oni.maharaj995@business.in,Information given. Price pitched 33 000. The client said he will let us know.,,Cell Track,High,Open,Referral,Delhi & NCR,Suraj Darade,Sonal Athawale,,9/20/2025,0
Mr. Bail,0685798042,keya.bail60@business.in,Information given price pitched 28 000. Client said he will call on next week.,,SDR,Medium,Open,Marketing,Karnataka ,Sonal Athawale,Pravin Vhatkar,,10/2/2025,0
Mr. Gabriel Batta,0447586031,gabriel.batta717@business.in,Information given price pitched 18 000. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,Cell Track",High,Open,Website,Gujarat,Sonal Athawale,Suraj Darade,,9/24/2025,0
Mr. Logan Sood,0375241697,logan.sood793@business.in,Information given. Price told Rs. 18 000. Client said that he will callback for the same.,,"CDR Analysis Software,Cell Track",Medium,Open,Webinar,Karnataka ,Sonal Athawale,Pravin Vhatkar,,9/12/2025,0
Mr. Matthew Virk,9951584096,matthew.virk359@example.com,Information given. Price pitched 33 000. The client said he will let us know.,,"CDR Analysis Software,Cell Track",Medium,Open,Webinar,Delhi & NCR,Suraj Darade,Sonal Athawale,,9/18/2025,0
Mr. Baghyawati Vora,2004024180,baghyawati.vora477@example.com,Information given. Price told Rs. 18 000. Client said that he will callback for the same.,,SDR,Medium,Open,Marketing,Gujarat,Suraj Darade,Suraj Darade,,9/13/2025,0
Mr. Khalsa,0484981332,samuel.khalsa735@example.com,Information given. Price pitched 33 000. The client said he will let us know.,,"CDR Analysis Software,SDR",High,Open,Marketing,Delhi & NCR,Pravin Vhatkar,Suraj Darade,,9/13/2025,0
Mr. Nathaniel Sengupta,+914134348,nathaniel.sengupta329@example.com,Information given price pitched 18 000. Client said he will let us know.,,SDR,Medium,Open,Website,Maharashtra ,Sonal Athawale,Pravin Vhatkar,,10/4/2025,0
Mr. Samar Shere,+918471709,samar.shere202@example.com,Information given price pitched 33k. Client said he will let us know.,,SDR,Medium,Open,Marketing,Maharashtra ,Pravin Vhatkar,Pravin Vhatkar,,9/16/2025,0
Mrs. Gala,0112788677,lekha.gala794@example.com,Information given price pitched 33k. Client said he will let us know.,,"CDR Analysis Software,Cell Track",High,Open,Referral,Tamil Nadu,Suraj Darade,Suraj Darade,,10/9/2025,0
Mr. Harsh Nayak,0433775670,harsh.nayak464@example.com,Information given price pitched 33 000. Client said he will call on next week.,,Cell Track,High,Open,Website,Tamil Nadu,Pravin Vhatkar,Pravin Vhatkar,,9/19/2025,0
Mr. Hemani Iyengar,6031197275,hemani.iyengar340@mailserver.org,Information given price pitched 33k. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,Cell Track",High,Open,Referral,Tamil Nadu,Suraj Darade,Sonal Athawale,,10/6/2025,0
Mr. Zashil Dhaliwal,7816141964,zashil.dhaliwal456@business.in,Information given. Price told Rs. 33 000. Client said that he will callback for the same.,,SDR,Medium,Open,Website,Punjab,Pravin Vhatkar,Pravin Vhatkar,,9/24/2025,0
Mrs. Bishakha Divan,2201876765,bishakha.divan215@mailserver.org,Information given. Price told Rs. 18 000. Client said that he will callback for the same.,,CDR Analysis Software,Medium,Open,Marketing,Punjab,Sonal Athawale,Suraj Darade,,9/30/2025,0
Mrs. Hiral Thakur,+918172309,hiral.thakur324@mailserver.org,Information given. Price told Rs.28 000. Client said that send me quotation for the same.,,SDR,High,Open,Referral,Bihar & Jharkhand,Pravin Vhatkar,Suraj Darade,,10/2/2025,0
Mr. Faras Parmar,4079723470,faras.parmar932@mailserver.org,Information given. Price told Rs.18k. Client said that send me quotation for the same.,,"CDR Analysis Software,Cell Track",Medium,Open,Referral,Gujarat,Suraj Darade,Pravin Vhatkar,,10/5/2025,0
Ms. Rayaan Chakraborty,9662642781,rayaan.chakraborty384@business.in,Information given price pitched 33k. Client said he will call on next week.,,Cell Track,Medium,Open,Marketing,Maharashtra ,Pravin Vhatkar,Sonal Athawale,,9/18/2025,0
Mr. Yashawini Desai,6602520271,yashawini.desai999@mailserver.org,Information given. Price pitched 18k. The client said he will let us know.,,SDR,High,Open,Website,Delhi & NCR,Pravin Vhatkar,Suraj Darade,,9/22/2025,0
Mr. Balendra Kohli,6439605418,balendra.kohli379@example.com,Information given price pitched 33 000. Client said he will call on next week.,,SDR,Medium,Open,Website,Gujarat,Suraj Darade,Suraj Darade,,10/5/2025,0
Mr. Xavier Mallick,5159383121,xavier.mallick515@business.in,Information given. Price told Rs.18 000. Client said that i will call you back after some time.,,"CDR Analysis Software,Cell Track",High,Open,Webinar,Tamil Nadu,Suraj Darade,Sonal Athawale,,10/3/2025,0
Mr. Harita Bhagat,0957169904,harita.bhagat335@example.com,Information given price pitched 28 000. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,Cell Track",High,Open,Website,Goa,Pravin Vhatkar,Suraj Darade,,9/29/2025,0
Ms. Narayan,7462456451,lekha.narayan684@mailserver.org,Information given price pitched 18k. Client said he will call on next week.,,SDR,Medium,Open,Referral,Delhi & NCR,Pravin Vhatkar,Pravin Vhatkar,,9/13/2025,0
Mrs. Peter Trivedi,7949629539,peter.trivedi852@example.com,Information given price pitched 18 000. Client said share me details on whats app he will let us know.,,SDR,High,Open,Referral,Maharashtra ,Sonal Athawale,Sonal Athawale,,10/5/2025,0
Ms. Kashish Devi,3178504436,kashish.devi317@mailserver.org,Information given price pitched 18 000. Client said he will let us know.,,Cell Track,High,Open,Referral,Gujarat,Sonal Athawale,Suraj Darade,,10/6/2025,0
Mr. Fariq Shankar,0084399960,fariq.shankar176@example.com,Information given. Price told Rs.18 000. Client said that send me quotation for the same.,,SDR,Medium,Open,Website,Delhi & NCR,Pravin Vhatkar,Sonal Athawale,,10/2/2025,0
Ms. Neha Sibal,+916660511,neha.sibal575@mailserver.org,Information given price pitched 28k. Client said he will call back.,,"CDR Analysis Software,SDR",Medium,Open,Marketing,Tamil Nadu,Suraj Darade,Suraj Darade,,9/27/2025,0
Mr. Lohit Pall,+912166584,lohit.pall514@business.in,Information given. Price told Rs.28k. Client said that i will call you back after some time.,,Cell Track,High,Open,Webinar,Bihar & Jharkhand,Sonal Athawale,Pravin Vhatkar,,9/14/2025,0
Mrs. Praneel Sagar,6849644144,praneel.sagar274@example.com,Information given price pitched 33 000. Client said he will let us know.,,Cell Track,High,Open,Webinar,Delhi & NCR,Sonal Athawale,Pravin Vhatkar,,10/2/2025,0
Ms. Praneel Sangha,0535379062,praneel.sangha517@mailserver.org,Information given price pitched 28k. Client said he will call on next week.,,"CDR Analysis Software,Cell Track",Medium,Open,Referral,Uttar Pradesh,Suraj Darade,Suraj Darade,,9/11/2025,0
Mrs. Damini Mukherjee,+915357053,damini.mukherjee451@business.in,Information given price pitched 28k. Client said he will let us know.,,Cell Track,Medium,Open,Marketing,Delhi & NCR,Pravin Vhatkar,Suraj Darade,,9/14/2025,0
Ms. Vedant Babu,+918959750,vedant.babu239@business.in,Information given price pitched 33 000. Client said he will let us know.,,"CDR Analysis Software,Cell Track",Medium,Open,Website,Punjab,Suraj Darade,Sonal Athawale,,9/30/2025,0
Ms. Gaurika Sinha,0132947423,gaurika.sinha411@mailserver.org,Information given price pitched 18 000. Client said share me details on whats app he will let us know.,,CDR Analysis Software,High,Open,Webinar,Punjab,Suraj Darade,Sonal Athawale,,9/26/2025,0
Mr. Nihal Kota,5772647998,nihal.kota213@business.in,Information given price pitched 33k. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,SDR",High,Open,Website,Delhi & NCR,Pravin Vhatkar,Suraj Darade,,9/30/2025,0
Mrs. Anita Shenoy,0626485185,anita.shenoy417@mailserver.org,Information given. Price told Rs.18 000. Client said that i will call you back after some time.,,Cell Track,Medium,Open,Referral,Maharashtra ,Pravin Vhatkar,Suraj Darade,,9/15/2025,0
Mr. Tristan Dhaliwal,9850581280,tristan.dhaliwal988@example.com,Information given. Price told Rs.33 000. Client said that send me quotation for the same.,,"CDR Analysis Software,SDR",High,Open,Marketing,Goa,Sonal Athawale,Sonal Athawale,,10/7/2025,0
Mrs. Widisha Iyer,+912957518,widisha.iyer548@business.in,Information given price pitched 28k. Client said he will call back.,,SDR,High,Open,Marketing,Bihar & Jharkhand,Sonal Athawale,Pravin Vhatkar,,9/28/2025,0
Mrs. Grewal,+912659519,zaitra.grewal503@mailserver.org,Information given. Price told Rs.33 000. Client said that send me quotation for the same.,,SDR,Medium,Open,Website,Bihar & Jharkhand,Pravin Vhatkar,Pravin Vhatkar,,10/3/2025,0
Ms. Vedhika Parikh,+913671745,vedhika.parikh813@example.com,Information given price pitched 33 000. Client said he will call back.,,"CDR Analysis Software,SDR",Medium,Open,Marketing,Karnataka ,Suraj Darade,Pravin Vhatkar,,9/15/2025,0
Mrs. Mason Pingle,+914688980,mason.pingle720@mailserver.org,Information given price pitched 28k. Client said he will call back.,,"CDR Analysis Software,SDR",High,Open,Website,Tamil Nadu,Suraj Darade,Pravin Vhatkar,,10/5/2025,0
Mrs. Nimrat Dora,+916911469,nimrat.dora365@example.com,Information given. Price told Rs.18k. Client said that i will call you back after some time.,,Cell Track,Medium,Open,Website,Karnataka ,Suraj Darade,Pravin Vhatkar,,10/3/2025,0
Mr. Matthew Shukla,0475580412,matthew.shukla383@mailserver.org,Information given price pitched 28 000. Client said he will call on next week.,,"CDR Analysis Software,SDR",High,Open,Marketing,Maharashtra ,Pravin Vhatkar,Suraj Darade,,9/11/2025,0
Mr. Aashi Kadakia,0334527369,aashi.kadakia291@business.in,Information given. Price told Rs.28k. Client said that i will call you back after some time.,,"CDR Analysis Software,Cell Track",Medium,Open,Referral,Bihar & Jharkhand,Pravin Vhatkar,Pravin Vhatkar,,9/11/2025,0
Mr. Dipta Karnik,+912241175,dipta.karnik665@business.in,Information given price pitched 18 000. Client said he will call back.,,SDR,High,Open,Marketing,Gujarat,Sonal Athawale,Sonal Athawale,,9/15/2025,0
Mrs. Tanish Bhatti,4391494278,tanish.bhatti444@business.in,Information given price pitched 33k. Client said he will call on next week.,,CDR Analysis Software,High,Open,Webinar,Gujarat,Suraj Darade,Pravin Vhatkar,,9/17/2025,0
Mrs. Jeevika Chandran,+913816628,jeevika.chandran949@mailserver.org,Information given price pitched 28k. Client said he will call on next week.,,"CDR Analysis Software,Cell Track",High,Open,Referral,Karnataka ,Pravin Vhatkar,Sonal Athawale,,9/17/2025,0
Ms. Gaurav Joshi,0040955522,gaurav.joshi433@example.com,Information given. Price told Rs.18 000. Client said that i will call you back after some time.,,CDR Analysis Software,Medium,Open,Webinar,Maharashtra ,Pravin Vhatkar,Pravin Vhatkar,,10/9/2025,0
Mr. Henry Desai,0965274773,henry.desai465@mailserver.org,Information given price pitched 28 000. Client said he will call back.,,"CDR Analysis Software,SDR",Medium,Open,Referral,Punjab,Pravin Vhatkar,Sonal Athawale,,9/28/2025,0
Ms. Manan Borra,7538723479,manan.borra987@example.com,Information given price pitched 18 000. Client said he will let us know.,,SDR,Medium,Open,Website,Goa,Sonal Athawale,Pravin Vhatkar,,9/15/2025,0
Mrs. Anita Bala,0761265640,anita.bala837@example.com,Information given price pitched 18k. Client said he will call on next week.,,SDR,Medium,Open,Website,Delhi & NCR,Suraj Darade,Pravin Vhatkar,,9/17/2025,0
Mrs. Dey,+912717331,amol.dey358@example.com,Information given price pitched 18k. Client said he will call on next week.,,CDR Analysis Software,Medium,Open,Referral,Delhi & NCR,Sonal Athawale,Sonal Athawale,,9/23/2025,0
Ms. Odika Kapur,0574575377,odika.kapur527@example.com,Information given price pitched 33 000. Client said he will let us know.,,"CDR Analysis Software,SDR",High,Open,Referral,Uttar Pradesh,Sonal Athawale,Pravin Vhatkar,,10/5/2025,0
Ms. Devi,2938251757,tanveer.devi631@mailserver.org,Information given price pitched 33k. Client said he will call on next week.,,CDR Analysis Software,High,Open,Website,Gujarat,Sonal Athawale,Suraj Darade,,10/4/2025,0
Ms. Yahvi Hayre,0250071219,yahvi.hayre106@business.in,Information given. Price pitched 18 000. The client said he will let us know.,,Cell Track,High,Open,Referral,Delhi & NCR,Pravin Vhatkar,Sonal Athawale,,9/11/2025,0
Mrs. Zarna Bakshi,+915530259,zarna.bakshi503@example.com,Information given. Price told Rs.28k. Client said that i will call you back after some time.,,"CDR Analysis Software,SDR",High,Open,Website,Gujarat,Suraj Darade,Suraj Darade,,9/24/2025,0
Mrs. Kamala Dhillon,5210362870,kamala.dhillon691@mailserver.org,Information given. Price told Rs.18 000. Client said that send me quotation for the same.,,"CDR Analysis Software,Cell Track",Medium,Open,Webinar,Uttar Pradesh,Suraj Darade,Pravin Vhatkar,,10/4/2025,0
Mrs. Balveer Sanghvi,+919715017,balveer.sanghvi339@business.in,Information given. Price told Rs.33k. Client said that i will call you back after some time.,,"CDR Analysis Software,Cell Track",Medium,Open,Marketing,Delhi & NCR,Sonal Athawale,Suraj Darade,,9/23/2025,0
Mr. Mitali Murty,+910868589,mitali.murty158@example.com,Information given. Price told Rs.18k. Client said that i will call you back after some time.,,CDR Analysis Software,Medium,Open,Webinar,Bihar & Jharkhand,Sonal Athawale,Pravin Vhatkar,,10/5/2025,0
Mrs. Advay Vaidya,+918959074,advay.vaidya804@example.com,Information given. Price told Rs.28k. Client said that send me quotation for the same.,,"CDR Analysis Software,Cell Track",High,Open,Referral,Goa,Suraj Darade,Sonal Athawale,,9/16/2025,0
Ms. Anya Kothari,+917363044,anya.kothari428@business.in,Information given. Price told Rs.28k. Client said that send me quotation for the same.,,Cell Track,High,Open,Referral,Delhi & NCR,Sonal Athawale,Suraj Darade,,9/23/2025,0
Mrs. Girindra Om,+911323956,girindra.om401@mailserver.org,Information given. Price told Rs.33k. Client said that send me quotation for the same.,,SDR,Medium,Open,Webinar,Goa,Pravin Vhatkar,Pravin Vhatkar,,10/6/2025,0
Ms. Omaja Bhargava,+916783759,omaja.bhargava123@business.in,Information given. Price told Rs.18k. Client said that i will call you back after some time.,,"CDR Analysis Software,Cell Track",High,Open,Marketing,Goa,Sonal Athawale,Sonal Athawale,,9/25/2025,0
Mr. Nakul Lanka,7466719323,nakul.lanka165@business.in,Information given price pitched 28k. Client said share me details on whats app he will let us know.,,Cell Track,Medium,Open,Referral,Uttar Pradesh,Pravin Vhatkar,Suraj Darade,,9/11/2025,0
Mrs. Nicholas Deo,7787045589,nicholas.deo972@example.com,Information given. Price told Rs. 33 000. Client said that he will callback for the same.,,"CDR Analysis Software,SDR",High,Open,Referral,Gujarat,Pravin Vhatkar,Sonal Athawale,,9/29/2025,0
Mr. Bhavani Chandra,0923793982,bhavani.chandra822@example.com,Information given price pitched 28k. Client said he will call back.,,Cell Track,High,Open,Marketing,Gujarat,Suraj Darade,Suraj Darade,,9/23/2025,0
Ms. Kala Sibal,0417661339,kala.sibal357@mailserver.org,Information given price pitched 18k. Client said he will call back.,,CDR Analysis Software,Medium,Open,Website,Tamil Nadu,Sonal Athawale,Sonal Athawale,,10/3/2025,0
Mr. Panini Dhawan,0591018117,panini.dhawan283@example.com,Information given price pitched 18 000. Client said he will let us know.,,"CDR Analysis Software,SDR",Medium,Open,Webinar,Tamil Nadu,Suraj Darade,Suraj Darade,,9/22/2025,0
Mrs. Kalla,+912736720,amara.kalla506@example.com,Information given price pitched 28 000. Client said he will call back.,,"CDR Analysis Software,SDR",Medium,Open,Marketing,Maharashtra ,Pravin Vhatkar,Sonal Athawale,,10/3/2025,0
Mr. Arunima Pathak,0914574042,arunima.pathak574@example.com,Information given. Price told Rs. 18 000. Client said that he will callback for the same.,,SDR,High,Open,Website,Tamil Nadu,Pravin Vhatkar,Pravin Vhatkar,,9/28/2025,0
Mrs. Aadi Lad,+913246835,aadi.lad624@mailserver.org,Information given price pitched 28k. Client said share me details on whats app he will let us know.,,Cell Track,High,Open,Website,Maharashtra ,Sonal Athawale,Suraj Darade,,9/20/2025,0
Ms. Fariq Raman,0573985447,fariq.raman662@mailserver.org,Information given. Price told Rs. 33 000. Client said that he will callback for the same.,,Cell Track,Medium,Open,Marketing,Goa,Sonal Athawale,Pravin Vhatkar,,10/7/2025,0
Mr. Bhatnagar,5493912324,eesha.bhatnagar286@business.in,Information given. Price told Rs.33 000. Client said that send me quotation for the same.,,Cell Track,Medium,Open,Webinar,Bihar & Jharkhand,Suraj Darade,Pravin Vhatkar,,9/29/2025,0
Mrs. Sarthak Goel,+911282916,sarthak.goel530@example.com,Information given. Price told Rs.18 000. Client said that i will call you back after some time.,,Cell Track,High,Open,Website,Maharashtra ,Suraj Darade,Pravin Vhatkar,,9/25/2025,0
Mr. Aarush Goyal,7291655968,aarush.goyal186@business.in,Information given price pitched 28 000. Client said share me details on whats app he will let us know.,,Cell Track,High,Open,Referral,Bihar & Jharkhand,Suraj Darade,Sonal Athawale,,9/22/2025,0
Mr. Oviya Narasimhan,0769590404,oviya.narasimhan765@business.in,Information given. Price told Rs.28k. Client said that send me quotation for the same.,,SDR,Medium,Open,Referral,Punjab,Pravin Vhatkar,Suraj Darade,,9/10/2025,0
Ms. Anya Chhabra,+915277285,anya.chhabra65@mailserver.org,Information given. Price told Rs.33k. Client said that i will call you back after some time.,,"CDR Analysis Software,SDR",Medium,Open,Webinar,Uttar Pradesh,Pravin Vhatkar,Sonal Athawale,,10/4/2025,0
Mrs. Buch,0741244863,amara.buch45@mailserver.org,Information given. Price pitched 28 000. The client said he will let us know.,,CDR Analysis Software,High,Open,Referral,Karnataka ,Sonal Athawale,Suraj Darade,,9/15/2025,0
Mrs. Hiral Merchant,+918125851,hiral.merchant164@mailserver.org,Information given price pitched 28 000. Client said he will call back.,,"CDR Analysis Software,SDR",Medium,Open,Referral,Uttar Pradesh,Sonal Athawale,Sonal Athawale,,10/5/2025,0
Mr. Chandresh Gandhi,0884910111,chandresh.gandhi314@business.in,Information given. Price told Rs.28k. Client said that i will call you back after some time.,,CDR Analysis Software,Medium,Open,Website,Karnataka ,Suraj Darade,Suraj Darade,,10/7/2025,0
Mrs. Wahab Jayaraman,8800330867,wahab.jayaraman306@example.com,Information given price pitched 33k. Client said he will let us know.,,CDR Analysis Software,High,Open,Marketing,Maharashtra ,Pravin Vhatkar,Pravin Vhatkar,,9/11/2025,0
Mrs. Urvashi Koshy,0640912938,urvashi.koshy953@mailserver.org,Information given. Price told Rs.28k. Client said that i will call you back after some time.,,"CDR Analysis Software,Cell Track",High,Open,Marketing,Goa,Pravin Vhatkar,Suraj Darade,,10/5/2025,0
Mrs. Advaith Dani,0756960772,advaith.dani549@business.in,Information given price pitched 18 000. Client said share me details on whats app he will let us know.,,Cell Track,Medium,Open,Website,Maharashtra ,Sonal Athawale,Pravin Vhatkar,,9/24/2025,0
Ms. Anika Dixit,0682843033,anika.dixit853@business.in,Information given price pitched 18k. Client said he will call back.,,SDR,Medium,Open,Marketing,Karnataka ,Sonal Athawale,Suraj Darade,,10/1/2025,0
Mrs. Jagat Tak,4721589538,jagat.tak780@business.in,Information given price pitched 33k. Client said he will call back.,,Cell Track,High,Open,Webinar,Punjab,Suraj Darade,Suraj Darade,,10/3/2025,0
Mr. Vohra,+913051767,matthew.vohra515@example.com,Information given price pitched 18k. Client said he will call on next week.,,CDR Analysis Software,Medium,Open,Marketing,Goa,Suraj Darade,Suraj Darade,,9/30/2025,0
Mrs. Agastya Varughese,+911088869,agastya.varughese503@mailserver.org,Information given. Price told Rs.33 000. Client said that send me quotation for the same.,,SDR,Medium,Open,Webinar,Maharashtra ,Suraj Darade,Suraj Darade,,10/3/2025,0
Mr. Rudra Ahuja,+915573244,rudra.ahuja402@mailserver.org,Information given. Price told Rs.28k. Client said that i will call you back after some time.,,CDR Analysis Software,Medium,Open,Webinar,Maharashtra ,Suraj Darade,Pravin Vhatkar,,10/8/2025,0
Ms. Jagdish Kala,+918459856,jagdish.kala441@example.com,Information given price pitched 18 000. Client said he will call on next week.,,CDR Analysis Software,Medium,Open,Website,Delhi & NCR,Suraj Darade,Pravin Vhatkar,,10/5/2025,0
Ms. Reva Chaudry,+911683102,reva.chaudry280@mailserver.org,Information given price pitched 28k. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,SDR",High,Open,Marketing,Bihar & Jharkhand,Pravin Vhatkar,Sonal Athawale,,9/26/2025,0
Mrs. Ati Gera,0047806969,ati.gera342@example.com,Information given. Price told Rs.28 000. Client said that send me quotation for the same.,,Cell Track,Medium,Open,Webinar,Uttar Pradesh,Suraj Darade,Pravin Vhatkar,,9/22/2025,0
Mrs. Mason Nori,9268777009,mason.nori567@example.com,Information given price pitched 28 000. Client said he will call on next week.,,"CDR Analysis Software,SDR",Medium,Open,Referral,Goa,Pravin Vhatkar,Suraj Darade,,10/9/2025,0
Mr. Frado Kannan,0525354037,frado.kannan115@business.in,Information given. Price told Rs.18 000. Client said that i will call you back after some time.,,"CDR Analysis Software,SDR",High,Open,Website,Gujarat,Pravin Vhatkar,Sonal Athawale,,9/28/2025,0
Mr. Jeevika Atwal,+917117864,jeevika.atwal126@example.com,Information given price pitched 28 000. Client said he will call back.,,SDR,High,Open,Referral,Gujarat,Pravin Vhatkar,Sonal Athawale,,9/22/2025,0
Mrs. Thomas Khatri,0195726064,thomas.khatri498@example.com,Information given price pitched 33k. Client said he will call back.,,"CDR Analysis Software,Cell Track",Medium,Open,Webinar,Gujarat,Pravin Vhatkar,Suraj Darade,,9/24/2025,0
Mr. Balan,+918780271,baghyawati.balan854@business.in,Information given price pitched 28 000. Client said he will call on next week.,,SDR,High,Open,Webinar,Tamil Nadu,Sonal Athawale,Suraj Darade,,9/28/2025,0
Ms. Shravya Kurian,7199292753,shravya.kurian163@business.in,Information given price pitched 18 000. Client said he will let us know.,,"CDR Analysis Software,Cell Track",Medium,Open,Webinar,Gujarat,Suraj Darade,Suraj Darade,,9/28/2025,0
Mr. Hemal Chadha,+919146016,hemal.chadha821@mailserver.org,Information given. Price pitched 33 000. The client said he will let us know.,,"CDR Analysis Software,SDR",Medium,Open,Marketing,Goa,Sonal Athawale,Pravin Vhatkar,,9/24/2025,0
Ms. Vivaan Dua,2498935699,vivaan.dua626@business.in,Information given price pitched 28 000. Client said he will call on next week.,,"CDR Analysis Software,SDR",High,Open,Website,Goa,Suraj Darade,Pravin Vhatkar,,9/28/2025,0
Mrs. Sastry,+916200590,eta.sastry354@example.com,Information given price pitched 33k. Client said he will let us know.,,Cell Track,Medium,Open,Website,Delhi & NCR,Sonal Athawale,Suraj Darade,,10/4/2025,0
Ms. Fitan Bava,0930830753,fitan.bava833@business.in,Information given price pitched 28 000. Client said he will let us know.,,SDR,High,Open,Marketing,Goa,Pravin Vhatkar,Pravin Vhatkar,,9/14/2025,0
Mr. Megha Dey,+917191085,megha.dey527@business.in,Information given price pitched 18k. Client said he will call back.,,"CDR Analysis Software,Cell Track",Medium,Open,Webinar,Bihar & Jharkhand,Suraj Darade,Sonal Athawale,,10/9/2025,0
Ms. Abhimanyu Date,8602424839,abhimanyu.date628@mailserver.org,Information given. Price pitched 28k. The client said he will let us know.,,"CDR Analysis Software,SDR",Medium,Open,Referral,Maharashtra ,Sonal Athawale,Pravin Vhatkar,,10/6/2025,0
Mr. Ishwar Chaudhari,0461765394,ishwar.chaudhari459@mailserver.org,Information given price pitched 33k. Client said he will call back.,,CDR Analysis Software,Medium,Open,Website,Bihar & Jharkhand,Suraj Darade,Sonal Athawale,,10/1/2025,0
Ms. Quincy Dhar,0781057771,quincy.dhar175@mailserver.org,Information given. Price pitched 33k. The client said he will let us know.,,"CDR Analysis Software,Cell Track",High,Open,Website,Karnataka ,Sonal Athawale,Pravin Vhatkar,,9/17/2025,0
Ms. Ekaraj Gill,4259335164,ekaraj.gill252@mailserver.org,Information given price pitched 18k. Client said he will call back.,,CDR Analysis Software,Medium,Open,Website,Goa,Suraj Darade,Suraj Darade,,10/5/2025,0
Mrs. Pahal Vaidya,9248152714,pahal.vaidya461@mailserver.org,Information given price pitched 18k. Client said he will let us know.,,SDR,High,Open,Webinar,Maharashtra ,Suraj Darade,Pravin Vhatkar,,9/19/2025,0
Mr. Saksham Bajaj,0869220490,saksham.bajaj821@example.com,Information given price pitched 28k. Client said share me details on whats app he will let us know.,,"CDR Analysis Software,SDR",Medium,Open,Marketing,Bihar & Jharkhand,Pravin Vhatkar,Pravin Vhatkar,,9/15/2025,0
Ms. Abeer Memon,+918237742,abeer.memon534@business.in,Information given price pitched 33k. Client said he will call on next week.,,Cell Track,High,Open,Referral,Maharashtra ,Sonal Athawale,Sonal Athawale,,9/11/2025,0
Mr. Talwar,1716862883,sanaya.talwar399@example.com,Information given. Price told Rs. 33k. Client said that he will callback for the same.,,SDR,Medium,Open,Website,Karnataka ,Suraj Darade,Sonal Athawale,,9/16/2025,0
Mr. Xalak Lanka,0418275053,xalak.lanka790@mailserver.org,Information given price pitched 18k. Client said he will call on next week.,,CDR Analysis Software,Medium,Open,Website,Gujarat,Pravin Vhatkar,Pravin Vhatkar,,9/21/2025,0
Ms. Mohammed Balasubramanian,+911464067,mohammed.balasubramanian388@business.in,Information given price pitched 28 000. Client said he will let us know.,,"CDR Analysis Software,Cell Track",High,Open,Marketing,Tamil Nadu,Suraj Darade,Sonal Athawale,,9/30/2025,0
Ms. Balendra Puri,3709433592,balendra.puri670@example.com,Information given. Price told Rs.18k. Client said that i will call you back after some time.,,SDR,High,Open,Referral,Goa,Sonal Athawale,Suraj Darade,,10/2/2025,0
